rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate,time/episodes,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
-0.3804900600000001,4,17216,73471,5.43,1.0,9390,0.001,0.00164820920742516,0.18441500887274742,73374
-0.38372211,4,17229,73527,5.44,1.0,9400,0.001,0.0019220960093662143,0.16941134134928384,73430
-0.37647682000000005,4,17242,73579,5.42,1.0,9410,0.001,0.0018790715839713812,0.17609098553657532,73480
-0.37825635999999996,4,17255,73633,5.43,1.0,9420,0.001,0.0018573625711724162,0.16967567801475525,73534
-0.37984142000000004,4,17268,73687,5.41,1.0,9430,0.001,0.001698889226342241,0.18917063375314078,73589
-0.37343269999999995,4,17280,73737,5.36,1.0,9440,0.001,0.0017160357092507184,0.16919821500778198,73641
-0.3782056000000001,4,17293,73791,5.38,1.0,9450,0.001,0.0017466980032622814,0.18102920055389404,73694
-0.38813330999999995,4,17307,73849,5.47,1.0,9460,0.001,0.0017216627020388842,0.1703754886984825,73751
-0.38987385999999996,4,17320,73903,5.48,1.0,9470,0.001,0.0017932840157300234,0.17214695364236832,73805
-0.38837337,4,17335,73963,5.51,1.0,9480,0.001,0.0017217835411429405,0.17471104860305786,73865
-0.39787203000000004,4,17349,74023,5.52,1.0,9490,0.001,0.0018892626588543255,0.17853409051895142,73926
-0.39680603000000003,4,17362,74077,5.5,1.0,9500,0.001,0.001999298809096217,0.16207237541675568,73978
-0.39490617,4,17374,74127,5.48,1.0,9510,0.001,0.0016225659346673638,0.18403269350528717,74031
-0.40501971999999997,4,17389,74189,5.56,1.0,9520,0.001,0.001785456823805968,0.17138932148615518,74091
-0.39739317999999996,4,17402,74241,5.54,1.0,9530,0.001,0.001941070077009499,0.17810427645842233,74143
-0.39795534999999993,4,17415,74294,5.57,1.0,9540,0.001,0.0020044799894094467,0.1753687560558319,74198
-0.38781746999999994,4,17427,74344,5.53,1.0,9550,0.001,0.0017634933853211503,0.19690092404683432,74247
-0.38031583,4,17439,74397,5.48,1.0,9560,0.001,0.0018899664049968124,0.1762668341398239,74299
-0.37906898999999994,4,17453,74452,5.49,1.0,9570,0.001,0.0017742864438332617,0.18320482224225998,74354
-0.37976845999999986,4,17466,74508,5.45,1.0,9580,0.001,0.0015993098301502566,0.1805864671866099,74411
-0.37438778000000006,4,17479,74562,5.39,1.0,9590,0.001,0.0018063558187956612,0.17674515148003897,74464
-0.3720784999999999,4,17493,74619,5.42,1.0,9600,0.001,0.00160462911784028,0.17691504458586374,74522
-0.37584794999999993,4,17505,74668,5.41,1.0,9610,0.001,0.0019336873083375394,0.17585769295692444,74571
-0.3677000899999999,4,17520,74732,5.43,1.0,9620,0.001,0.001806741557084024,0.18030792474746704,74633
-0.37439204,4,17534,74787,5.46,1.0,9630,0.001,0.0018418544670566917,0.18575997650623322,74687
-0.38336435,4,17549,74849,5.55,1.0,9640,0.001,0.0018037196381815843,0.18391474708914757,74752
-0.39197991000000004,4,17562,74905,5.61,1.0,9650,0.001,0.0021809595928061754,0.1781092919409275,74807
-0.3923333400000001,4,17574,74956,5.59,1.0,9660,0.001,0.001704094116576016,0.18101339042186737,74859
-0.39742179,4,17588,75013,5.61,1.0,9670,0.001,0.0018222100334241986,0.18291649222373962,74915
-0.39644426000000005,4,17601,75067,5.59,1.0,9680,0.001,0.001924255397170782,0.17375290393829346,74968
-0.3936171600000001,4,17615,75124,5.62,1.0,9690,0.001,0.0017175769510989387,0.1705260674158732,75028
-0.3938236499999999,4,17628,75179,5.6,1.0,9700,0.001,0.0016120607421422999,0.18567786117394766,75082
-0.3902032200000001,4,17640,75228,5.6,1.0,9710,0.001,0.001859974185936153,0.17068739980459213,75131
-0.38524538999999997,4,17652,75279,5.47,1.0,9720,0.001,0.0018661774229258299,0.1764836311340332,75183
-0.3853431100000001,4,17665,75332,5.45,1.0,9730,0.001,0.0016982483502943069,0.17765754461288452,75234
-0.3846999400000001,4,17679,75390,5.41,1.0,9740,0.001,0.002051453152671456,0.1801594446102778,75292
-0.38461240000000013,4,17692,75443,5.38,1.0,9750,0.001,0.002144245430827141,0.1770237684249878,75346
-0.38954829999999996,4,17705,75500,5.44,1.0,9760,0.001,0.0016851054038852452,0.1714717075228691,75401
-0.38089769000000007,4,17718,75551,5.38,1.0,9770,0.001,0.0016900302376598119,0.1759338080883026,75455
-0.38339885000000007,4,17731,75608,5.41,1.0,9780,0.001,0.0017834748529518645,0.17052668829758963,75510
-0.38983629999999997,4,17746,75667,5.43,1.0,9790,0.001,0.0018718695500865579,0.17433460553487143,75569
-0.39625444000000004,4,17760,75725,5.46,1.0,9800,0.001,0.0018207825254648925,0.17759893089532852,75627
-0.4089141599999999,4,17774,75786,5.58,1.0,9810,0.001,0.0017962744847560923,0.18254661560058594,75689
-0.42228853,4,17788,75844,5.65,1.0,9820,0.001,0.0016566557460464537,0.17237603664398193,75747
-0.42111759000000004,4,17802,75900,5.68,1.0,9830,0.001,0.0017437888076528908,0.16860940059026083,75802
-0.41633928,4,17814,75952,5.62,1.0,9840,0.001,0.0017652346286922693,0.16586421430110931,75855
-0.4184774599999999,4,17829,76012,5.69,1.0,9850,0.001,0.0019680826808325946,0.17495260015130043,75913
-0.41198843999999996,4,17842,76067,5.67,1.0,9860,0.001,0.001969795790500939,0.17734353244304657,75971
-0.41407394000000003,4,17856,76123,5.72,1.0,9870,0.001,0.0017723659693729132,0.18562205880880356,76024
-0.40878971999999997,4,17870,76180,5.72,1.0,9880,0.001,0.0017664837185293436,0.1778828427195549,76083
-0.40118928000000004,4,17883,76235,5.68,1.0,9890,0.001,0.0018710949890581624,0.17061389982700348,76137
-0.39652682999999994,4,17896,76288,5.63,1.0,9900,0.001,0.001917408243753016,0.16887928545475006,76192
-0.38984348,4,17909,76343,5.57,1.0,9910,0.001,0.0019025733428342001,0.17836399873097739,76245
-0.38429569999999996,4,17923,76401,5.57,1.0,9920,0.001,0.001890091085806489,0.18639405816793442,76303
-0.38206201000000006,4,17935,76453,5.53,1.0,9930,0.001,0.0016922527325472661,0.17372146248817444,76356
-0.38479434000000007,4,17950,76512,5.6,1.0,9940,0.001,0.0019408955205497997,0.19131183624267578,76413
-0.39214727999999993,4,17964,76572,5.6,1.0,9950,0.001,0.0018448034340205293,0.1735924929380417,76475
-0.39444044999999994,4,17977,76624,5.57,1.0,9960,0.001,0.00168141732380415,0.18874916434288025,76528
-0.3985099100000001,4,17990,76680,5.57,1.0,9970,0.001,0.0019023373606614769,0.1811998039484024,76582
-0.4073135200000001,4,18004,76739,5.59,1.0,9980,0.001,0.0019920792962823597,0.17404602840542793,76640
-0.40361014000000006,4,18017,76792,5.57,1.0,9990,0.001,0.0017908830971767504,0.1694914698600769,76695
-0.4033877199999999,4,18030,76847,5.59,1.0,10000,0.001,0.001837577484548092,0.17598304152488708,76750
-0.40615420999999996,4,18044,76904,5.61,1.0,10010,0.001,0.001798170676920563,0.18743405863642693,76806
-0.4102288099999999,4,18058,76960,5.59,1.0,10020,0.001,0.0018511312082409859,0.18046039839585623,76862
-0.4124467500000001,4,18072,77019,5.66,1.0,10030,0.001,0.001769828237593174,0.17671139538288116,76923
-0.4038781,4,18084,77069,5.57,1.0,10040,0.001,0.0017039872240275145,0.1888892650604248,76972
-0.39567879999999994,4,18097,77124,5.52,1.0,10050,0.001,0.0018954982349116886,0.17756901681423187,77028
-0.4039344999999999,4,18111,77182,5.58,1.0,10060,0.001,0.001838512672111392,0.18326391279697418,77085
-0.39972885,4,18124,77234,5.54,1.0,10070,0.001,0.001992082630749792,0.18550639351209006,77137
-0.39634922999999994,4,18137,77290,5.51,1.0,10080,0.001,0.0018088674172759057,0.17570994049310684,77193
-0.40069904,4,18151,77346,5.54,1.0,10090,0.001,0.0019180724921170622,0.1881297007203102,77249
-0.40356425,4,18165,77406,5.59,1.0,10100,0.001,0.0018189951855068405,0.1811728278795878,77308
-0.40396467999999996,4,18179,77464,5.6,1.0,10110,0.001,0.0022102713119238615,0.17726105451583862,77366
-0.39819154000000007,4,18193,77521,5.61,1.0,10120,0.001,0.0016916576423682272,0.17937787622213364,77423
-0.39860436999999993,4,18206,77576,5.57,1.0,10130,0.001,0.0019296000245958567,0.18865614384412766,77479
-0.39633287,4,18219,77627,5.58,1.0,10140,0.001,0.0017639970174059272,0.18115070462226868,77531
-0.40136377,4,18232,77684,5.6,1.0,10150,0.001,0.0018395873291107516,0.1818780650695165,77586
-0.39575877,4,18245,77738,5.56,1.0,10160,0.001,0.0017366869724355638,0.18512222915887833,77640
-0.39761731,4,18259,77793,5.59,1.0,10170,0.001,0.0017340959942278762,0.16947092612584433,77696
-0.38999364999999997,4,18272,77847,5.57,1.0,10180,0.001,0.0016798973549157381,0.18262864649295807,77750
-0.38526840999999995,4,18284,77899,5.53,1.0,10190,0.001,0.0016823529032990337,0.16928739845752716,77801
-0.37848596,4,18298,77955,5.49,1.0,10200,0.001,0.001868122024461627,0.17857474833726883,77859
-0.37238316000000005,4,18311,78008,5.44,1.0,10210,0.001,0.001985163427889347,0.17368838687737784,77910
-0.37227783000000003,4,18324,78062,5.41,1.0,10220,0.001,0.001851371512748301,0.1776149421930313,77966
-0.37184043,4,18336,78114,5.38,1.0,10230,0.001,0.001994996564462781,0.17621180911858877,78016
-0.38483048000000003,4,18350,78173,5.46,1.0,10240,0.001,0.0018873248676148553,0.1735349496205648,78074
