time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
49588,13311,5.23,0.91,-0.4929451499999999,3,8520,7.890189408499282e-06,49488,0.16946331560611724,0.001
49643,13326,5.24,0.92,-0.49754988999999994,3,8530,6.400440952347708e-06,49541,0.1723425512512525,0.001
49697,13341,5.26,0.93,-0.50009642,3,8540,6.2010979490878524e-06,49595,0.17166027128696443,0.001
49751,13355,5.27,0.93,-0.50157204,3,8550,8.512149815942393e-06,49646,0.1696988344192505,0.001
49800,13369,5.19,0.92,-0.49853793,3,8560,7.257335437316215e-06,49698,0.16728569567203522,0.001
49855,13383,5.24,0.93,-0.50218778,3,8570,8.052864435133719e-06,49753,0.16603607187668482,0.001
49907,13398,5.22,0.91,-0.49640688999999993,3,8580,8.543310559616658e-06,49804,0.16887767016887664,0.001
49960,13412,5.19,0.9,-0.49593609,3,8590,7.1001169696198e-06,49857,0.17806419730186462,0.001
50015,13427,5.22,0.9,-0.49689765999999996,3,8600,6.696162199659739e-06,49913,0.17390173971652984,0.001
50071,13442,5.34,0.93,-0.5033172499999999,3,8610,1.0804449993884191e-05,49967,0.1701866567134857,0.001
50126,13457,5.38,0.94,-0.4991247299999999,3,8620,5.3982878398528555e-06,50023,0.1667967215180397,0.001
50177,13471,5.34,0.92,-0.49669312,3,8630,1.1789824839070207e-05,50077,0.17181426882743836,0.001
50230,13486,5.33,0.92,-0.49367428999999996,3,8640,1.9810090710355627e-05,50128,0.1765296682715416,0.001
50285,13500,5.34,0.91,-0.50127923,3,8650,9.39560413826257e-06,50185,0.16779131690661112,0.001
50337,13515,5.37,0.92,-0.5051323200000001,3,8660,7.098674905137159e-06,50235,0.16742336452007295,0.001
50386,13528,5.31,0.91,-0.5044197,3,8670,7.794999146426562e-06,50283,0.1773625820875168,0.001
50440,13543,5.33,0.92,-0.5076932200000001,3,8680,1.0821358773682733e-05,50338,0.178912216424942,0.001
50493,13557,5.33,0.92,-0.50439037,3,8690,6.964095064176945e-06,50392,0.17325064539909363,0.001
50548,13572,5.33,0.93,-0.50991606,3,8700,9.65672290931252e-06,50446,0.16770512983202934,0.001
50599,13586,5.28,0.92,-0.50596714,3,8710,1.6725301672219455e-05,50497,0.1736186941464742,0.001
50649,13599,5.23,0.9,-0.51000388,3,8720,1.7429154013370862e-05,50549,0.17319109290838242,0.001
50705,13615,5.28,0.92,-0.50984566,3,8730,1.4034941765809586e-05,50602,0.1720352346698443,0.001
50763,13630,5.33,0.92,-0.51420542,3,8740,8.499386846475923e-06,50659,0.1691189631819725,0.001
50811,13644,5.26,0.91,-0.50701349,3,8750,7.339564763242379e-06,50711,0.1838214337825775,0.001
50861,13657,5.24,0.9,-0.5016665100000001,3,8760,9.814458280743565e-06,50758,0.16880282759666443,0.001
50914,13672,5.28,0.91,-0.50199109,3,8770,1.164130062534241e-05,50812,0.1716860294342041,0.001
50974,13688,5.34,0.92,-0.50767309,3,8780,1.001362837390237e-05,50871,0.1796153411269188,0.001
51029,13703,5.36,0.92,-0.51663694,3,8790,1.2492024325183593e-05,50927,0.17604203770558038,0.001
51078,13716,5.3,0.91,-0.5074501,3,8800,1.3289857452036814e-05,50976,0.16996477842330932,0.001
51126,13729,5.27,0.9,-0.5072545700000001,3,8810,1.8449103663442656e-05,51023,0.1672211319208145,0.001
51182,13744,5.33,0.93,-0.50479188,3,8820,6.08981652779524e-06,51079,0.17664663990338644,0.001
51233,13758,5.28,0.92,-0.5033821599999999,3,8830,7.451083729392849e-06,51131,0.18221012353897095,0.001
51288,13773,5.25,0.92,-0.5021063900000001,3,8840,5.339113689236304e-06,51185,0.1773013472557068,0.001
51337,13786,5.26,0.92,-0.50056692,3,8850,1.1554574787927171e-05,51235,0.18980716665585837,0.001
51388,13800,5.27,0.93,-0.49922466,3,8860,5.695553863915848e-06,51285,0.17676189839839934,0.001
51440,13814,5.26,0.93,-0.49793665000000004,3,8870,7.103510870365426e-06,51339,0.1771917760372162,0.001
51500,13831,5.26,0.92,-0.49701718000000006,3,8880,5.492955642694141e-06,51400,0.17299786508083342,0.001
51554,13845,5.25,0.92,-0.49132802,3,8890,6.7828740005400805e-06,51452,0.17049927016099295,0.001
