time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/episodes,time/total_timesteps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
4,-0.8933018600000001,7.18,0.91,3943,1250,16832,0.001,0.190303610637784,16737,8.310498742503114e-05
4,-0.8779086900000002,7.05,0.89,3958,1260,16895,0.001,0.19648792780935764,16802,9.587797558197053e-05
4,-0.8557755800000001,6.93,0.88,3974,1270,16961,0.001,0.1959714548928397,16867,8.340183454233088e-05
4,-0.86125293,6.92,0.88,3991,1280,17031,0.001,0.1944550151626269,16937,7.746067058178596e-05
4,-0.85120522,6.81,0.87,4006,1290,17097,0.001,0.1939558486143748,17003,9.063466859515756e-05
4,-0.8548350700000001,6.82,0.88,4022,1300,17163,0.001,0.1801331676542759,17068,0.00011317087773932144
4,-0.85470638,6.8,0.88,4038,1310,17228,0.001,0.1915467195212841,17132,8.593233542342205e-05
4,-0.8454922100000001,6.83,0.89,4056,1320,17304,0.001,0.1877120602875948,17208,7.821290364518063e-05
4,-0.85414089,6.89,0.89,4074,1330,17380,0.001,0.19532027414866857,17285,7.81100825406611e-05
4,-0.86616832,6.87,0.89,4091,1340,17448,0.001,0.19356844574213028,17353,6.651597141171806e-05
4,-0.8660435099999999,6.79,0.89,4106,1350,17511,0.001,0.17548323422670364,17418,8.54427116792067e-05
4,-0.8712546000000002,6.85,0.88,4122,1360,17580,0.001,0.18450286984443665,17490,0.00011481167894089594
4,-0.8840441700000001,6.9,0.89,4139,1370,17651,0.001,0.19560487071673074,17557,7.074374055567507e-05
4,-0.8862450399999999,6.87,0.89,4156,1380,17718,0.001,0.18947408029011317,17624,6.44771358305921e-05
4,-0.8924057099999999,6.93,0.9,4173,1390,17790,0.001,0.1894751207696067,17696,5.9909488805311005e-05
4,-0.87875863,6.88,0.89,4187,1400,17851,0.001,0.1864246279001236,17758,6.940197895996139e-05
4,-0.8939239900000001,6.98,0.9,4205,1410,17926,0.001,0.18829001672565937,17829,7.601842480653431e-05
4,-0.9042717099999998,6.92,0.88,4222,1420,17996,0.001,0.1955128957827886,17906,9.376800315092421e-05
4,-0.9019609899999999,6.82,0.87,4238,1430,18062,0.001,0.18162537046841212,17969,7.6536709197431e-05
4,-0.88120473,6.75,0.87,4253,1440,18123,0.001,0.18448412418365479,18030,7.633788378110953e-05
4,-0.87766913,6.88,0.88,4271,1450,18199,0.001,0.191122544663293,18106,6.717565806216694e-05
4,-0.8860596599999999,6.91,0.9,4288,1460,18271,0.001,0.19700807332992554,18177,6.252266030060127e-05
