rollout/success_rate,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
0.88,48218,11390,-0.71018034,5.84,6740,4,0.0008966061868704855,0.001,48116,0.2907601793607076
0.87,48269,11402,-0.6855876000000001,5.73,6750,4,0.0008477297378703952,0.001,48167,0.26902352273464203
0.9,48331,11417,-0.6962143700000002,5.88,6760,4,0.0008709548024593719,0.001,48230,0.2763639762997627
0.9,48386,11430,-0.68008831,5.78,6770,4,0.0008861564419930801,0.001,48285,0.2731589153409004
0.89,48441,11443,-0.6889620699999999,5.8,6780,4,0.000879123540861266,0.001,48343,0.29405104120572406
0.89,48500,11457,-0.70088006,5.85,6790,4,0.0008472408018341022,0.001,48396,0.27389172464609146
0.89,48560,11472,-0.6983897599999999,5.82,6800,4,0.0009320433503792932,0.001,48457,0.2956324915091197
0.89,48619,11486,-0.6996107899999999,5.79,6810,4,0.000908015810030823,0.001,48518,0.25788187980651855
0.9,48678,11500,-0.7038848400000002,5.82,6820,4,0.000818220283170896,0.001,48576,0.27040787786245346
0.91,48740,11515,-0.70928242,5.87,6830,4,0.0008249785751104355,0.001,48638,0.28339883685112
0.91,48807,11531,-0.70723472,5.89,6840,4,0.0009544299333356321,0.001,48703,0.28850455582141876
0.92,48875,11547,-0.7277596700000001,6.06,6850,4,0.0008488533494528383,0.001,48777,0.27183985710144043
0.88,48924,11559,-0.7163073799999999,5.93,6860,4,0.0008676775097329584,0.001,48826,0.2790511190891266
0.89,48987,11574,-0.72787313,6.01,6870,4,0.000941110375736441,0.001,48884,0.2764146104454994
0.9,49049,11589,-0.7303433799999999,6.08,6880,4,0.0009707555873319507,0.001,48945,0.25382888317108154
0.92,49111,11604,-0.71528702,6.11,6890,4,0.0008200043133304765,0.001,49007,0.27156976858774823
0.88,49160,11616,-0.71151645,6.0,6900,4,0.0008600756991654634,0.001,49057,0.2667428255081177
0.88,49226,11632,-0.71251197,6.07,6910,4,0.0009738181667801525,0.001,49123,0.2646244168281555
0.86,49274,11643,-0.7008003900000002,5.96,6920,4,0.0009953973349183798,0.001,49172,0.26717817783355713
0.84,49323,11655,-0.6870933799999999,5.83,6930,4,0.0008027247219745602,0.001,49220,0.2713500037789345
0.79,49364,11665,-0.66475859,5.57,6940,4,0.0009395885281264782,0.001,49260,0.27292098601659137
0.79,49423,11679,-0.65796231,5.48,6950,4,0.0008320216555148363,0.001,49320,0.27381397287050885
0.81,49472,11691,-0.6546396,5.48,6960,4,0.000879124239353197,0.001,49370,0.2787846326828003
0.81,49538,11707,-0.6602919999999999,5.51,6970,4,0.0009062447269181055,0.001,49435,0.2823025981585185
0.81,49600,11721,-0.66448511,5.51,6980,4,0.0008810056373476982,0.001,49496,0.2729293505350749
0.8,49657,11735,-0.6637844599999998,5.46,6990,4,0.0009120064496528357,0.001,49554,0.2671671013037364
0.84,49719,11750,-0.6656143800000001,5.59,7000,4,0.000841244198714516,0.001,49615,0.2615732749303182
0.83,49776,11764,-0.66313786,5.5,7010,4,0.0009080202934066099,0.001,49678,0.2704104110598564
0.86,49839,11779,-0.68070153,5.65,7020,4,0.0008472281551803462,0.001,49737,0.2713337130844593
0.88,49892,11792,-0.6766308400000001,5.69,7030,4,0.0008247397723607719,0.001,49790,0.2805364628632863
0.92,49951,11806,-0.69153736,5.87,7040,4,0.0009103144984692335,0.001,49848,0.25202642877896625
0.91,50012,11820,-0.6966576799999998,5.89,7050,4,0.0008763653126412205,0.001,49914,0.27641255408525467
0.92,50073,11835,-0.7146357299999999,6.01,7060,4,0.0009262292878702283,0.001,49971,0.25307003657023114
0.89,50125,11848,-0.7023920800000001,5.87,7070,4,0.0008107254980131984,0.001,50024,0.27256472408771515
0.89,50188,11863,-0.7001467099999998,5.88,7080,4,0.0008600059663876891,0.001,50084,0.2849399819970131
0.89,50252,11878,-0.7127373300000002,5.95,7090,4,0.0008683882188051939,0.001,50148,0.28432586789131165
0.87,50310,11892,-0.71234414,5.91,7100,4,0.0009882315320687161,0.001,50212,0.2678872585296631
0.87,50371,11907,-0.7181111199999998,5.95,7110,4,0.0009161167462090296,0.001,50268,0.27409979701042175
0.86,50431,11921,-0.7210281000000001,5.92,7120,4,0.0008437754877377301,0.001,50328,0.2771393259366353
0.86,50492,11936,-0.7368861899999999,6.0,7130,4,0.000837049596676869,0.001,50390,0.2769217938184738
0.87,50557,11951,-0.7467418499999998,6.06,7140,4,0.0008865677615782867,0.001,50454,0.27847891052563983
0.87,50613,11965,-0.7315605399999999,6.01,7150,4,0.000785661133704707,0.001,50511,0.28799256682395935
0.88,50679,11980,-0.73253395,6.06,7160,4,0.0007653892722113856,0.001,50575,0.28939250111579895
0.9,50735,11994,-0.72584941,6.1,7170,4,0.0007949927627729873,0.001,50633,0.2836142381032308
0.87,50783,12005,-0.72238357,5.95,7180,4,0.0007598043011967093,0.001,50685,0.28078627586364746
0.86,50837,12018,-0.7087045499999999,5.85,7190,4,0.000827380019472912,0.001,50734,0.27234649658203125
0.87,50894,12032,-0.7096875699999999,5.84,7200,4,0.0008728611962093661,0.001,50793,0.27364426851272583
0.86,50947,12045,-0.69697242,5.76,7210,4,0.0008605221402831376,0.001,50845,0.27413490414619446
0.85,51000,12057,-0.6869642,5.69,7220,4,0.0007962009694892913,0.001,50898,0.28355643153190613
0.86,51059,12071,-0.67492322,5.67,7230,4,0.0008029652875848114,0.001,50957,0.2688167989253998
0.86,51127,12088,-0.6703237899999999,5.7,7240,4,0.0008202603639801964,0.001,51024,0.2825479581952095
0.87,51185,12102,-0.6800932799999998,5.72,7250,4,0.0009234294162264892,0.001,51082,0.27796151489019394
0.86,51248,12117,-0.6725107899999999,5.69,7260,4,0.0008760706654616765,0.001,51146,0.27510954439640045
0.86,51311,12132,-0.68786898,5.76,7270,4,0.0008452803179222558,0.001,51209,0.27675342559814453
0.89,51370,12146,-0.6914654699999998,5.87,7280,4,0.0008875786692702345,0.001,51268,0.28015635162591934
0.89,51426,12160,-0.6955790800000001,5.89,7290,4,0.0008546474200556986,0.001,51325,0.2703273370862007
0.88,51483,12173,-0.69748071,5.89,7300,4,0.0008008010918274522,0.001,51380,0.2929738759994507
0.89,51545,12188,-0.7081663800000001,5.98,7310,4,0.0008805255856714211,0.001,51443,0.27504730969667435
0.9,51606,12203,-0.71239322,6.06,7320,4,0.0008695530039923531,0.001,51503,0.29261457920074463
0.86,51655,12215,-0.71002979,5.96,7330,4,0.0007542971579823643,0.001,51553,0.27678515513737995
0.84,51709,12227,-0.70692474,5.82,7340,4,0.0008820121681007246,0.001,51608,0.27605939904848736
