time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
11724,4,6900,49538,5.99,-0.61694617,0.99,49455,0.22944122552871704,0.0021948144305497406,0.001
11738,4,6910,49594,6.02,-0.62598025,0.99,49510,0.22417116910219193,0.002228957101968782,0.001
11751,4,6920,49651,5.98,-0.62386516,0.99,49566,0.20277251303195953,0.00186771567678079,0.001
11765,4,6930,49712,5.98,-0.61821501,0.99,49627,0.21129793301224709,0.0019243522110627964,0.001
11779,4,6940,49768,5.92,-0.61153659,0.99,49683,0.21713538467884064,0.002403379970928654,0.001
11793,4,6950,49827,5.92,-0.61116931,0.99,49744,0.20397294561068216,0.0023370013611080744,0.001
11808,4,6960,49889,5.93,-0.60874087,0.99,49805,0.21998686343431473,0.0018004467943683266,0.001
11822,4,6970,49948,5.93,-0.6058950900000001,0.99,49865,0.21105942130088806,0.0016975779319182039,0.001
11838,4,6980,50015,6.0,-0.6109423999999999,0.99,49929,0.22270669415593147,0.0021227096310920185,0.001
11852,4,6990,50074,5.92,-0.5907176900000001,0.99,49991,0.2069248507420222,0.0023076561434815326,0.001
11866,4,7000,50135,5.97,-0.6022484999999999,0.99,50050,0.21378760784864426,0.0017238354193978012,0.001
11880,4,7010,50192,5.98,-0.5910083600000001,1.0,50108,0.19727646807829538,0.0013439843663945795,0.001
11893,4,7020,50249,5.98,-0.58643701,1.0,50164,0.20451981822649637,0.0018686862895265222,0.001
11905,4,7030,50301,5.89,-0.5787893,0.99,50218,0.19666524976491928,0.001568100182339549,0.001
11918,4,7040,50356,5.88,-0.5768926000000001,0.99,50273,0.19739846140146255,0.0016387176234275102,0.001
11933,4,7050,50416,5.89,-0.57835691,0.99,50333,0.21325928966204324,0.0018106344893264275,0.001
11948,4,7060,50480,5.91,-0.5794110699999999,0.99,50397,0.21634894609451294,0.002328926154101888,0.001
11963,4,7070,50542,5.94,-0.5735691299999999,0.98,50459,0.2179453025261561,0.0017688374667029297,0.001
11978,4,7080,50605,5.9,-0.5634763399999999,0.98,50522,0.20024937391281128,0.0018234275747090578,0.001
11992,4,7090,50664,5.9,-0.57522541,0.98,50579,0.2183580994606018,0.0017511322595445173,0.001
12005,4,7100,50722,5.87,-0.5646297499999999,0.98,50638,0.21882159014542898,0.0019468845566734672,0.001
12019,4,7110,50780,5.88,-0.57008536,0.98,50697,0.21094692250092825,0.002311665351347377,0.001
12033,4,7120,50840,5.91,-0.57971302,0.98,50756,0.21988661587238312,0.0018916186178103088,0.001
12049,4,7130,50906,6.05,-0.59781376,0.99,50821,0.21574831008911133,0.001809340423076517,0.001
12065,4,7140,50970,6.14,-0.6170082100000001,0.99,50887,0.21910938248038292,0.002335314653464593,0.001
12078,4,7150,51028,6.12,-0.6051955299999999,0.99,50944,0.20922908559441566,0.0016897311579668894,0.001
12092,4,7160,51086,6.06,-0.59818502,0.99,51002,0.21151746436953545,0.0018573913756491883,0.001
12105,4,7170,51139,5.97,-0.5890286,1.0,51055,0.20812533050775528,0.0021863042493350804,0.001
12119,4,7180,51200,5.95,-0.59378292,1.0,51118,0.22297292575240135,0.002062404731987044,0.001
12133,4,7190,51259,5.95,-0.58869869,1.0,51176,0.22352062165737152,0.0018647887174867922,0.001
12147,4,7200,51317,5.95,-0.59612208,0.99,51233,0.18691644072532654,0.001778027624823153,0.001
12161,4,7210,51377,5.97,-0.5905279800000001,0.99,51293,0.22951529920101166,0.002305009202765567,0.001
12176,4,7220,51437,5.97,-0.58872859,0.99,51353,0.2121310830116272,0.0017835508721570175,0.001
12189,4,7230,51493,5.87,-0.58235597,0.99,51409,0.21462040394544601,0.0020362828858196736,0.001
12203,4,7240,51550,5.8,-0.56532413,0.99,51467,0.21681218594312668,0.0022360810544341803,0.001
12217,4,7250,51609,5.81,-0.56757174,0.99,51526,0.20457062125205994,0.0019525995594449341,0.001
