time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
60798,9640,5.9,0.8,4,-0.7373167600000002,15065,0.001,60697,4.434812944964506e-05,0.005984315648674965,-0.43450117111206055,0.3691757917404175
60852,9650,5.83,0.78,4,-0.7278878900000001,15079,0.001,60751,4.1267176129622385e-05,0.0059721097350120544,0.9334028959274292,0.32813960313796997
60893,9660,5.62,0.74,4,-0.70080765,15089,0.001,60792,7.400571485050023e-05,0.006014671642333269,-0.24374346435070038,0.3290822505950928
60958,9670,5.61,0.74,4,-0.7053358700000001,15105,0.001,60857,4.677971082855947e-05,0.006071127951145172,-0.8509907126426697,0.3347947597503662
61005,9680,5.48,0.7,4,-0.7041068,15117,0.001,60904,4.1243307350669056e-05,0.0060129971243441105,0.6380634307861328,0.35073599219322205
61064,9690,5.35,0.68,4,-0.6931568399999999,15132,0.001,60963,5.959409463685006e-05,0.0060343495570123196,0.2958383560180664,0.36049723625183105
61119,9700,5.42,0.69,4,-0.69740577,15145,0.001,61018,5.326773680280894e-05,0.006029612384736538,0.8936558961868286,0.3468209207057953
61181,9710,5.56,0.72,4,-0.7104306800000001,15161,0.001,61080,4.421386620379053e-05,0.0060034254565835,0.2524757981300354,0.3283073902130127
61233,9720,5.47,0.69,4,-0.7018453699999999,15174,0.001,61132,5.869503365829587e-05,0.006056864280253649,-0.2722414433956146,0.37164318561553955
61309,9730,5.73,0.73,4,-0.7185130799999999,15193,0.001,61208,8.693935524206609e-05,0.006041746120899916,0.4795287251472473,0.3761759400367737
61373,9740,5.75,0.73,4,-0.7207868399999999,15209,0.001,61272,5.501722625922412e-05,0.006006709765642881,-1.3249402046203613,0.3636187016963959
61422,9750,5.7,0.74,4,-0.7183891999999998,15221,0.001,61321,7.354656554525718e-05,0.0059705376625061035,0.1880704164505005,0.3481619656085968
61486,9760,5.93,0.78,4,-0.7383955599999998,15237,0.001,61385,5.624589539365843e-05,0.0059499782510101795,-0.329168438911438,0.35581350326538086
61539,9770,5.81,0.76,4,-0.7143284200000001,15250,0.001,61438,3.983380884164944e-05,0.006012349389493465,-0.5323894023895264,0.3280724287033081
61589,9780,5.84,0.76,4,-0.7118521100000001,15262,0.001,61488,4.916059333481826e-05,0.0060608829371631145,-0.6821669340133667,0.3495478332042694
61663,9790,5.99,0.78,4,-0.7183375399999998,15281,0.001,61562,5.222237086854875e-05,0.006049215327948332,-0.04812715947628021,0.3640037775039673
61727,9800,6.08,0.79,4,-0.7341908399999997,15297,0.001,61626,5.8697780332295224e-05,0.006044935900717974,-0.741374135017395,0.32041552662849426
61781,9810,6.0,0.77,4,-0.7271473599999999,15310,0.001,61680,5.303232683218084e-05,0.0060098436661064625,0.23382413387298584,0.3330533504486084
61845,9820,6.12,0.79,4,-0.7414102500000002,15326,0.001,61744,5.569681525230408e-05,0.006096125114709139,-0.782018780708313,0.3340885043144226
61900,9830,5.91,0.77,4,-0.72240261,15340,0.001,61799,9.626528481021523e-05,0.006073305383324623,0.46449393033981323,0.3583299517631531
61950,9840,5.77,0.75,4,-0.7036580300000002,15352,0.001,61849,9.22358813113533e-05,0.006097863428294659,-0.20581725239753723,0.3787514567375183
62010,9850,5.88,0.76,4,-0.71029398,15367,0.001,61909,9.064581536222249e-05,0.006100725382566452,0.3622426986694336,0.35106056928634644
62061,9860,5.75,0.74,4,-0.7013720099999999,15380,0.001,61960,5.718087777495384e-05,0.006070013623684645,-0.042185425758361816,0.32732513546943665
62119,9870,5.8,0.75,4,-0.71118318,15395,0.001,62018,4.492315201787278e-05,0.006062726955860853,0.11363092064857483,0.3554966449737549
62182,9880,5.93,0.77,4,-0.7178256000000002,15410,0.001,62081,3.635878238128498e-05,0.006034222897142172,-0.8373905420303345,0.35196420550346375
62244,9890,5.81,0.76,4,-0.71355619,15426,0.001,62143,6.135439616627991e-05,0.006014126818627119,0.8545256853103638,0.34057095646858215
62291,9900,5.64,0.74,4,-0.6880087000000001,15438,0.001,62190,5.375477485358715e-05,0.0060524954460561275,0.5773160457611084,0.35591718554496765
62341,9910,5.6,0.73,4,-0.68706219,15450,0.001,62240,6.953322736080736e-05,0.006039320956915617,1.5944037437438965,0.3586914539337158
