rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
-1.0360063499999999,5639,0.97,8.35,3,2080,22091,0.001,3.974950277552125e-05,22001,0.25147547759115696
-1.0472051900000001,5660,0.98,8.38,3,2090,22173,0.001,4.818843490284053e-05,22080,0.25075166299939156
-1.0466325300000001,5679,0.97,8.23,3,2100,22245,0.001,8.501362935930956e-05,22155,0.24248360842466354
-1.04519783,5701,0.97,8.18,3,2110,22332,0.001,6.08939299127087e-05,22241,0.2584694754332304
-1.03937559,5722,0.97,8.06,3,2120,22411,0.001,5.1447777271581195e-05,22318,0.2500198458631833
-1.03909306,5740,0.97,8.01,3,2130,22483,0.001,3.341116689625778e-05,22392,0.2697198037058115
-1.03269566,5761,0.97,8.03,3,2140,22563,0.001,4.878147865383653e-05,22472,0.2602645009756088
-1.0135005899999998,5779,0.96,7.9,3,2150,22634,0.001,7.184130724150843e-05,22547,0.2530281990766525
-1.0178089799999999,5801,0.96,7.93,3,2160,22720,0.001,3.871805006383511e-05,22627,0.25461998395621777
-1.0367328199999999,5824,0.95,8.0,3,2170,22808,0.001,3.9219047638735816e-05,22721,0.25139848075129767
-1.03500896,5844,0.95,7.95,3,2180,22886,0.001,4.861906063524657e-05,22792,0.2504605371505022
-1.01249965,5863,0.94,7.84,3,2190,22957,0.001,8.439237853963277e-05,22866,0.24821119569242
-1.01832145,5887,0.95,8.04,3,2200,23049,0.001,4.2636274883989245e-05,22958,0.2471532461543878
-1.00447074,5906,0.94,7.92,3,2210,23124,0.001,6.576477729443771e-05,23033,0.2526773338516553
-1.0082683099999998,5927,0.93,7.94,3,2220,23205,0.001,4.2593830585246906e-05,23112,0.2474291825836355
-1.0177261,5949,0.94,8.08,3,2230,23291,0.001,6.529852817038773e-05,23200,0.2604505196213722
-1.0253876200000003,5970,0.95,8.09,3,2240,23372,0.001,6.845978047446503e-05,23279,0.2624020998676618
-1.0294846200000003,5987,0.95,8.04,3,2250,23438,0.001,5.929915693871278e-05,23347,0.24820903369358607
-1.02186618,6008,0.95,8.0,3,2260,23520,0.001,3.896739976231142e-05,23430,0.2519536444119045
-1.01052659,6029,0.96,7.91,3,2270,23599,0.001,4.419558639970741e-05,23505,0.2485568140234266
-1.0064980300000002,6050,0.96,7.95,3,2280,23681,0.001,6.643731740041403e-05,23591,0.2609655801206827
-1.01523922,6069,0.97,7.98,3,2290,23755,0.001,4.458205876289867e-05,23663,0.24192497382561365
