rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/episodes,rollout/success_rate,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
5.85,-0.70545972,22190,5275,4,2830,0.88,0.21232973784208298,0.001,2.807075316013652e-05,22091
5.97,-0.72088866,22260,5292,4,2840,0.9,0.21234067777792612,0.001,3.1486274868560336e-05,22159
5.95,-0.7208124000000001,22318,5306,4,2850,0.89,0.20885875821113586,0.001,1.4800796374661981e-05,22219
6.06,-0.72630977,22381,5321,4,2860,0.92,0.21181405782699586,0.001,1.2508790132415015e-05,22281
6.06,-0.7183881200000001,22447,5337,4,2870,0.92,0.21890201419591904,0.001,1.7742413092491915e-05,22346
6.02,-0.7214442399999998,22503,5350,4,2880,0.92,0.20746731162071227,0.001,2.858351799659431e-05,22404
6.0,-0.72239003,22560,5364,4,2890,0.9,0.21518542369206747,0.001,1.1966779614643505e-05,22461
6.0,-0.7177688400000001,22623,5379,4,2900,0.9,0.21454958191939763,0.001,1.2484621103275068e-05,22527
6.02,-0.7203132199999999,22675,5392,4,2910,0.91,0.2011882315079371,0.001,1.3858076575464414e-05,22576
6.11,-0.7293611999999999,22745,5408,4,2920,0.91,0.21995697170495987,0.001,1.0452131088338016e-05,22642
6.18,-0.7403552099999999,22808,5424,4,2930,0.91,0.20851050317287445,0.001,1.2750848933743933e-05,22712
5.88,-0.7086343,22848,5433,4,2940,0.86,0.2240396397454398,0.001,1.5753405153061196e-05,22752
5.88,-0.7050061500000001,22906,5447,4,2950,0.86,0.21097493668397269,0.001,7.911212681695664e-06,22806
5.84,-0.70652523,22965,5461,4,2960,0.85,0.21567214280366898,0.001,1.9516004764833877e-05,22865
5.91,-0.7065479600000002,23038,5479,4,2970,0.85,0.21420378983020782,0.001,1.6551720818824833e-05,22936
6.01,-0.7170666599999999,23104,5495,4,2980,0.85,0.21011443436145782,0.001,1.0484600554466144e-05,23004
6.0,-0.71929483,23160,5508,4,2990,0.85,0.22066126018762589,0.001,1.3838504249482261e-05,23064
5.94,-0.70813863,23217,5522,4,3000,0.84,0.2031023974219958,0.001,2.7465495501625508e-05,23117
6.07,-0.7286482099999999,23282,5538,4,3010,0.86,0.2143306008407048,0.001,1.489358406355937e-05,23181
5.99,-0.72311256,23344,5552,4,3020,0.85,0.23254963755607605,0.001,1.5987113329174463e-05,23245
5.97,-0.71470612,23405,5567,4,3030,0.85,0.20940841486056647,0.001,1.648139277676819e-05,23309
6.25,-0.7472713799999999,23473,5584,4,3040,0.9,0.20069423743656703,0.001,1.5159736904024612e-05,23372
6.28,-0.7470016300000001,23534,5598,4,3050,0.91,0.20245854556560516,0.001,1.3525379654311109e-05,23438
6.28,-0.74466539,23593,5612,4,3060,0.9,0.20651639359337942,0.001,1.6864778055086e-05,23493
6.06,-0.7359784599999999,23644,5625,4,3070,0.87,0.20801521837711334,0.001,1.0509794719837373e-05,23543
5.96,-0.7220215400000001,23700,5638,4,3080,0.87,0.21743563065926233,0.001,1.662500426391489e-05,23604
6.0,-0.7241299799999998,23760,5653,4,3090,0.88,0.2159067615866661,0.001,1.125478305160262e-05,23659
5.98,-0.7206441999999998,23815,5666,4,3100,0.89,0.21000907321770987,0.001,2.552449708067191e-05,23719
5.85,-0.70887162,23867,5678,4,3110,0.86,0.21540861825148264,0.001,1.4127354916126933e-05,23766
5.76,-0.69886624,23920,5691,4,3120,0.85,0.20685840930257524,0.001,1.5666313109769752e-05,23824
5.59,-0.68518632,23964,5702,4,3130,0.82,0.20398209740718207,0.001,1.4855634769143459e-05,23868
5.46,-0.66813455,24019,5715,4,3140,0.8,0.20838439464569092,0.001,1.7015058044004643e-05,23919
5.44,-0.67127827,24078,5729,4,3150,0.79,0.21197908371686935,0.001,1.3717040019400883e-05,23975
5.43,-0.66572862,24136,5743,4,3160,0.8,0.2099326103925705,0.001,1.220368631038582e-05,24035
5.48,-0.6699701400000001,24192,5757,4,3170,0.81,0.21441413462162018,0.001,9.565288110024994e-06,24096
5.54,-0.6797595900000001,24254,5771,4,3180,0.82,0.2141334146261215,0.001,2.2802739658800418e-05,24154
5.49,-0.67837576,24309,5785,4,3190,0.81,0.22173289209604263,0.001,9.932823559211101e-06,24209
