rollout/success_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss
0.85,15633,57758,5.31,10410,3,-0.5263959300000001,0.001,0.17922123273213705,57653,7.889048750560809e-06
0.87,15648,57811,5.37,10420,3,-0.5266914,0.001,0.1729156052072843,57708,7.327103958232328e-06
0.89,15663,57866,5.45,10430,3,-0.52937466,0.001,0.17807874083518982,57764,4.232215019328578e-06
0.88,15678,57922,5.44,10440,3,-0.52702403,0.001,0.17360283434391022,57819,6.965271495573688e-06
0.89,15693,57979,5.45,10450,3,-0.52574163,0.001,0.1801851491133372,57875,6.3022188593701385e-06
0.91,15707,58031,5.49,10460,3,-0.5263321099999999,0.001,0.1825291315714518,57927,3.973314657438702e-06
0.9,15721,58080,5.45,10470,3,-0.51581887,0.001,0.17783178885777792,57980,5.239622017446284e-06
0.89,15735,58133,5.37,10480,3,-0.5070972,0.001,0.17881536980470022,58031,6.347543148876866e-06
0.89,15748,58179,5.3,10490,3,-0.49400567,0.001,0.17688603401184083,58077,1.9751356785491225e-05
0.91,15762,58231,5.32,10500,3,-0.49364711,0.001,0.1814881091316541,58131,6.555502598833603e-06
0.91,15777,58287,5.29,10510,3,-0.49180577999999997,0.001,0.17243146896362305,58183,4.730924577719027e-06
0.91,15792,58341,5.3,10520,3,-0.49498172,0.001,0.18076179921627045,58238,3.962340952057275e-06
0.9,15806,58393,5.27,10530,3,-0.49138554,0.001,0.181680828332901,58291,3.298078657583877e-06
0.9,15821,58448,5.26,10540,3,-0.49455074,0.001,0.18528262078762053,58345,4.391770789879956e-06
0.89,15836,58504,5.25,10550,3,-0.48966555,0.001,0.18167964182794094,58401,3.862947238530978e-06
0.88,15850,58554,5.23,10560,3,-0.48947067,0.001,0.17798888683319092,58451,5.304681621964846e-06
0.9,15865,58609,5.29,10570,3,-0.4946329599999999,0.001,0.17138702794909477,58507,8.555047770641977e-06
0.89,15879,58660,5.27,10580,3,-0.5037140400000001,0.001,0.1808820217847824,58560,7.37286867054839e-06
0.91,15892,58710,5.31,10590,3,-0.5055177499999999,0.001,0.17837928980588913,58608,4.279003633200773e-06
0.91,15906,58761,5.3,10600,3,-0.5019085400000001,0.001,0.177414208650589,58658,5.655299355566968e-06
0.9,15921,58814,5.27,10610,3,-0.50281672,0.001,0.17811961174011232,58714,8.50629476190079e-06
0.89,15935,58867,5.26,10620,3,-0.5069385900000001,0.001,0.17633622139692307,58767,6.5828646711452166e-06
0.9,15949,58920,5.27,10630,3,-0.50606998,0.001,0.1847841516137123,58817,8.571385440821663e-06
0.89,15963,58970,5.22,10640,3,-0.50237047,0.001,0.17363034784793854,58867,7.380042461591074e-06
0.89,15977,59022,5.18,10650,3,-0.49785731000000005,0.001,0.1855058322350184,58918,9.295079507865012e-06
0.89,15992,59075,5.21,10660,3,-0.5014439,0.001,0.17523628771305083,58973,5.8269425608159505e-06
0.86,16004,59120,5.11,10670,3,-0.4963316300000001,0.001,0.18723640739917755,59016,6.481740638264455e-06
0.88,16019,59175,5.15,10680,3,-0.49195584000000003,0.001,0.17526857306559881,59073,8.749295905848461e-06
0.86,16033,59228,5.18,10690,3,-0.4983986000000001,0.001,0.1801188513636589,59126,4.014929231743736e-06
0.86,16047,59279,5.18,10700,3,-0.49958017,0.001,0.17908378541469575,59177,5.8662173614720816e-06
0.85,16061,59330,5.16,10710,3,-0.49981815999999996,0.001,0.18329479396343232,59227,3.864917925966438e-06
0.86,16076,59384,5.17,10720,3,-0.49507367,0.001,0.17472068468729654,59282,4.295863770191015e-06
0.83,16088,59430,5.1,10730,3,-0.49485706,0.001,0.1824982225894928,59328,6.0893602494616065e-06
0.83,16103,59483,5.13,10740,3,-0.49006093000000006,0.001,0.1787733187278112,59380,4.7146916889081085e-06
0.83,16117,59537,5.15,10750,3,-0.4980440400000001,0.001,0.17483784755071005,59435,6.732267517387906e-06
0.83,16131,59587,5.12,10760,3,-0.49131889000000006,0.001,0.16949001252651213,59485,6.1450961766240654e-06
0.84,16146,59641,5.21,10770,3,-0.5011701500000001,0.001,0.17266042530536652,59539,5.940451652956351e-06
0.81,16158,59688,5.13,10780,3,-0.5019337199999999,0.001,0.17843922674655915,59588,1.0602013662719401e-05
0.82,16173,59743,5.15,10790,3,-0.49577829,0.001,0.17877053320407868,59639,5.866002538823523e-06
0.8,16186,59789,5.1,10800,3,-0.49768420999999996,0.001,0.17407514651616415,59689,7.397709396173013e-06
0.8,16200,59840,5.1,10810,3,-0.49854302999999994,0.001,0.1737473032304219,59738,5.7622499493196045e-06
0.8,16213,59890,5.06,10820,3,-0.49260655,0.001,0.17724276334047318,59787,6.3409759150090395e-06
0.81,16227,59939,5.09,10830,3,-0.49237019000000004,0.001,0.1829892188310623,59837,2.1232778090052305e-05
0.82,16241,59992,5.09,10840,3,-0.49235743000000004,0.001,0.17866556346416473,59890,4.506978484641877e-06
0.83,16255,60045,5.08,10850,3,-0.4863195900000001,0.001,0.18100188970565795,59943,3.6253884900361298e-06
0.84,16269,60096,5.09,10860,3,-0.48895937999999994,0.001,0.17603503167629242,59994,4.206366520520533e-06
0.84,16282,60144,5.03,10870,3,-0.48299393000000007,0.001,0.18230202794075012,60042,5.2554225173177356e-06
0.87,16297,60198,5.1,10880,3,-0.47922518000000003,0.001,0.17462433576583863,60096,4.377224422569271e-06
0.87,16311,60251,5.08,10890,3,-0.48230813000000006,0.001,0.18752694129943848,60149,3.1661142656957963e-05
0.89,16326,60306,5.17,10900,3,-0.48925862999999997,0.001,0.18355089674393335,60204,7.927276783448178e-06
0.9,16341,60361,5.21,10910,3,-0.48729268,0.001,0.18014046301444372,60258,4.655252951124567e-06
0.9,16356,60414,5.24,10920,3,-0.4934621300000001,0.001,0.17844157169262567,60312,4.632181003216829e-06
0.89,16369,60462,5.23,10930,3,-0.49507099000000004,0.001,0.18659340838591257,60362,4.469376714647903e-06
0.89,16383,60516,5.24,10940,3,-0.49981357000000004,0.001,0.18157119552294412,60416,6.091507657401962e-06
0.86,16396,60563,5.18,10950,3,-0.50050273,0.001,0.17700143158435822,60463,7.662583508742197e-06
0.87,16410,60616,5.2,10960,3,-0.50149921,0.001,0.1849719136953354,60514,3.8392714031942886e-06
0.88,16425,60671,5.27,10970,3,-0.5063859799999999,0.001,0.17504063496987024,60568,5.4542781526834005e-06
0.88,16441,60729,5.31,10980,3,-0.51297208,0.001,0.1803708573182424,60626,6.349478553602239e-06
0.88,16456,60784,5.33,10990,3,-0.5114869299999999,0.001,0.18156024565299353,60682,6.496320565929636e-06
0.87,16469,60832,5.26,11000,3,-0.50119453,0.001,0.18564130067825318,60730,7.488710616598837e-06
0.87,16483,60884,5.23,11010,3,-0.49618839000000003,0.001,0.1750321462750435,60783,5.4213426210480975e-06
0.86,16497,60934,5.2,11020,3,-0.4948115500000001,0.001,0.17533400058746337,60831,5.0501998430263486e-06
