rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/success_rate,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss
-0.2518892,4.57,3,20494,80400,1.0,16500,80305,0.0003687044736579992,0.001,0.10704871639609337
-0.25395698000000005,4.62,3,20506,80449,1.0,16510,80354,0.0003680865571368486,0.001,0.1048554132382075
-0.25359191,4.63,3,20518,80495,1.0,16520,80401,0.0003499368467601016,0.001,0.10129883140325546
-0.25819986999999994,4.66,3,20530,80541,1.0,16530,80447,0.0003551789501216263,0.001,0.10724177211523056
-0.26131988,4.66,3,20542,80589,1.0,16540,80493,0.00036707406494921696,0.001,0.11212248851855595
-0.26347264000000004,4.64,3,20553,80631,1.0,16550,80536,0.00038487030542455614,0.001,0.12512001767754555
-0.26628038,4.65,3,20565,80677,1.0,16560,80582,0.0003824005660135299,0.001,0.11194794376691182
-0.26525789000000005,4.6,3,20576,80720,1.0,16570,80625,0.00038015803147573024,0.001,0.11519865691661835
-0.26657128,4.58,3,20588,80766,1.0,16580,80671,0.00035144705179845914,0.001,0.10515854507684708
-0.26411007999999997,4.56,3,20599,80810,1.0,16590,80715,0.00036214895662851633,0.001,0.10226917639374733
-0.25914735,4.52,3,20610,80852,1.0,16600,80758,0.0003583920915843919,0.001,0.11217239871621132
-0.25853391000000003,4.49,3,20622,80898,1.0,16610,80804,0.0003648712736321613,0.001,0.10848880559206009
-0.25781994999999996,4.47,3,20633,80942,1.0,16620,80847,0.0003413229205762036,0.001,0.11336880177259445
-0.25519706999999997,4.47,3,20645,80988,1.0,16630,80894,0.0003816753742285073,0.001,0.10992078110575676
-0.25299102,4.46,3,20657,81035,1.0,16640,80937,0.0003770667128264904,0.001,0.10732290148735046
-0.25209648000000007,4.48,3,20669,81079,1.0,16650,80985,0.00034545702510513365,0.001,0.10469264909625053
-0.25125373,4.49,3,20681,81126,1.0,16660,81030,0.00035943061811849475,0.001,0.10672883316874504
-0.2683321,5.36,3,20714,81256,1.0,16670,81161,0.00034100934135494754,0.001,0.1053156815469265
-0.26602542,5.35,3,20726,81301,1.0,16680,81206,0.0003852987477633481,0.001,0.10955431809027989
-0.26901611,5.37,3,20738,81347,1.0,16690,81253,0.00033605063799768686,0.001,0.10634025558829308
-0.2688184699999999,5.37,3,20749,81389,1.0,16700,81295,0.0003600061754696071,0.001,0.1132899634540081
-0.26723663,5.34,3,20760,81432,1.0,16710,81338,0.0003152981444145553,0.001,0.11353790760040283
-0.26735052,5.33,3,20771,81475,1.0,16720,81381,0.00034817730920622125,0.001,0.10282556712627411
-0.26631830000000006,5.31,3,20782,81519,1.0,16730,81425,0.00037627876008627936,0.001,0.10930942744016647
-0.26844162,5.3,3,20794,81565,1.0,16740,81470,0.0003622878866735846,0.001,0.11594292894005775
-0.27125046999999997,5.35,3,20807,81614,1.0,16750,81520,0.00034967516548931596,0.001,0.10714934517939885
