rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/success_rate,time/episodes,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate
-0.69551233,65632,15895,5.82,4,0.86,10070,0.1711043914159139,4.963247981019473e-05,65527,0.001
-0.69052288,65690,15910,5.77,4,0.84,10080,0.17369959089491102,4.72435359471193e-05,65582,0.001
-0.6896704300000001,65743,15923,5.71,4,0.82,10090,0.1748431771993637,5.715815080163468e-05,65637,0.001
-0.6849330899999998,65792,15935,5.62,4,0.8,10100,0.16655669467789785,4.9060525010905364e-05,65690,0.001
-0.6833744,65850,15949,5.67,4,0.8,10110,0.16807526350021362,5.959157624602085e-05,65748,0.001
-0.6690031099999999,65899,15960,5.57,4,0.79,10120,0.17113704234361649,4.1906787373591214e-05,65797,0.001
-0.6749933800000001,65961,15975,5.64,4,0.8,10130,0.17359901467959085,0.0001397461977224642,65853,0.001
-0.6732883100000001,66015,15989,5.56,4,0.79,10140,0.17269739721502578,5.986663122062704e-05,65908,0.001
-0.6724633799999999,66062,16000,5.48,4,0.77,10150,0.1791914850473404,4.695635834650602e-05,65960,0.001
-0.67522078,66122,16015,5.45,4,0.77,10160,0.1724196195602417,4.56703310192097e-05,66015,0.001
-0.6831899399999999,66181,16029,5.49,4,0.78,10170,0.17303544531265894,4.378712795490477e-05,66075,0.001
-0.6938210300000001,66248,16045,5.58,4,0.81,10180,0.17031740929399217,6.338639494580483e-05,66142,0.001
-0.7016189400000001,66309,16060,5.66,4,0.82,10190,0.16508718473570688,4.238191598103315e-05,66203,0.001
-0.7262268199999999,66377,16077,5.85,4,0.86,10200,0.16929647965090616,3.2094953504773525e-05,66271,0.001
-0.71743645,66429,16090,5.79,4,0.86,10210,0.16874811947345733,2.980095196107868e-05,66327,0.001
-0.7297226600000001,66490,16104,5.91,4,0.87,10220,0.1756213903427124,3.1490743822359946e-05,66383,0.001
-0.7249511900000001,66550,16119,5.89,4,0.87,10230,0.1741640940308571,3.981672853115015e-05,66444,0.001
-0.72132487,66598,16131,5.83,4,0.86,10240,0.17067442195756094,3.4507749400550635e-05,66496,0.001
-0.7194475,66654,16144,5.92,4,0.89,10250,0.16544367585863387,3.8198825807609994e-05,66547,0.001
-0.7232595400000001,66712,16158,5.9,4,0.89,10260,0.1652422308921814,3.7053152482258156e-05,66606,0.001
