time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,train/critic_loss
4,12986,52780,8340,0.86,-0.7401019999999999,6.28,0.004501826129853725,0.3231099247932434,-1.12632155418396,52679,0.001,0.00019830021483357996
4,13001,52838,8350,0.84,-0.73307226,6.15,0.004584351554512978,0.34128302335739136,1.241135835647583,52737,0.001,0.0001555732305860147
4,13016,52898,8360,0.83,-0.7250012299999998,6.05,0.004613563884049654,0.33283939957618713,0.21669423580169678,52797,0.001,0.00015645156963728368
4,13031,52958,8370,0.84,-0.72729742,6.06,0.004585569258779287,0.3098987638950348,0.6258927583694458,52857,0.001,0.0002453543129377067
4,13045,53015,8380,0.82,-0.72241214,5.94,0.004560873378068209,0.30008718371391296,0.0626077651977539,52914,0.001,0.00012216356117278337
4,13064,53091,8390,0.86,-0.7535631600000001,6.25,0.004589797928929329,0.30767500400543213,-1.7130355834960938,52990,0.001,0.00019725285528693348
4,13079,53150,8400,0.84,-0.7463620599999998,6.17,0.0045632487162947655,0.3120373487472534,0.4042840003967285,53049,0.001,0.00011869840818690136
4,13093,53207,8410,0.83,-0.73321612,6.07,0.004574922379106283,0.29076236486434937,-0.12751731276512146,53106,0.001,0.00017651784582994878
4,13104,53251,8420,0.82,-0.7124762299999999,5.93,0.004550097044557333,0.3264022171497345,0.5267696380615234,53150,0.001,0.000158272945554927
4,13119,53314,8430,0.81,-0.71283835,5.93,0.004573951940983534,0.33469367027282715,-0.44630861282348633,53213,0.001,0.00017534621292725205
4,13131,53361,8440,0.8,-0.7041875800000001,5.81,0.00451809074729681,0.3244331479072571,-0.6025694608688354,53260,0.001,0.00013226064038462937
4,13145,53418,8450,0.79,-0.7066945099999998,5.8,0.004478277172893286,0.30351170897483826,0.06386736035346985,53317,0.001,0.00022884250211063772
4,13158,53470,8460,0.77,-0.70426775,5.72,0.004509485326707363,0.3001432418823242,-0.11299680918455124,53369,0.001,0.00014796972391195595
4,13174,53531,8470,0.77,-0.70586616,5.73,0.004502386320382357,0.2994745373725891,-0.6234689950942993,53430,0.001,0.000204732408747077
4,13189,53593,8480,0.78,-0.7044862000000002,5.78,0.004564245697110891,0.29065245389938354,-0.3752744197845459,53492,0.001,0.00024995539570227265
4,13200,53637,8490,0.73,-0.6780992500000003,5.46,0.0045729028061032295,0.32402241230010986,1.2756779193878174,53536,0.001,0.0002806716656778008
4,13212,53687,8500,0.7,-0.6715605599999998,5.37,0.004578575491905212,0.30407220125198364,0.26390111446380615,53586,0.001,0.0001708987692836672
4,13228,53750,8510,0.71,-0.6745472499999999,5.43,0.004553124774247408,0.3164482116699219,1.5045700073242188,53649,0.001,0.00012510133092291653
4,13243,53811,8520,0.74,-0.69376542,5.6,0.004595509730279446,0.313734233379364,1.3252272605895996,53710,0.001,0.00011379209900042042
4,13259,53874,8530,0.75,-0.6922382800000001,5.6,0.0045743705704808235,0.30366870760917664,1.00974702835083,53773,0.001,0.0001458030310459435
4,13271,53922,8540,0.75,-0.6909287899999998,5.61,0.004592983517795801,0.29553020000457764,1.3797545433044434,53821,0.001,0.00012294019688852131
4,13285,53978,8550,0.75,-0.6832987400000001,5.6,0.0046121301129460335,0.29575932025909424,-0.7899479269981384,53877,0.001,0.00010950883734039962
4,13300,54038,8560,0.76,-0.6854844599999999,5.68,0.004573081620037556,0.29008328914642334,-1.746058702468872,53937,0.001,0.00020579402917064726
4,13316,54103,8570,0.74,-0.68613291,5.72,0.004486026708036661,0.3254311680793762,0.868679404258728,54002,0.001,0.00034565984969958663
