rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
-0.40911699000000007,7200,5.18,35966,6530,4,0.97,35861,4.475665324813841e-05,0.14329037070274353,0.001
-0.41383467999999995,7211,5.24,36023,6540,4,0.97,35918,8.661832112011325e-06,0.13912892155349255,0.001
-0.41889735,7221,5.3,36075,6550,4,0.98,35969,6.80445361922466e-06,0.13208115845918655,0.001
-0.4180077200000001,7232,5.3,36125,6560,4,0.98,36020,4.7069022457435494e-06,0.14086024463176727,0.001
-0.42479943,7244,5.36,36184,6570,4,0.98,36077,1.1740965692297323e-05,0.13829873204231263,0.001
-0.42587592999999996,7253,5.31,36231,6580,4,0.96,36129,1.600824052729877e-05,0.14218473732471465,0.001
-0.4272745399999999,7263,5.31,36282,6590,4,0.96,36177,2.0721602413686924e-05,0.13372333645820617,0.001
-0.42668723999999997,7273,5.27,36331,6600,4,0.96,36227,7.218770224426407e-06,0.14664824306964874,0.001
-0.40963271999999995,7283,5.16,36377,6610,4,0.95,36273,3.267829360993346e-05,0.13939878940582276,0.001
-0.41667854000000004,7294,5.21,36434,6620,4,0.95,36328,4.655325938074384e-06,0.13710295196090425,0.001
-0.40837633000000007,7304,5.15,36481,6630,4,0.95,36376,8.58051935210824e-06,0.1403926968574524,0.001
-0.40462154,7314,5.08,36531,6640,4,0.95,36426,4.125929717702093e-06,0.14447956085205077,0.001
-0.41144728999999997,7325,5.13,36588,6650,4,0.95,36482,8.160051379491051e-06,0.13525212928652763,0.001
-0.40852384999999997,7335,5.11,36636,6660,4,0.95,36531,4.50491525043617e-06,0.14103037416934966,0.001
-0.40203656999999987,7345,5.03,36687,6670,4,0.95,36582,7.945293509692419e-06,0.1383560448884964,0.001
-0.40613293999999994,7356,5.09,36740,6680,4,0.97,36635,8.27644962555496e-06,0.13571289479732512,0.001
-0.4041788800000001,7366,5.06,36788,6690,4,0.96,36682,8.246687684732024e-06,0.13376519083976746,0.001
-0.40838847,7377,5.13,36844,6700,4,0.96,36738,2.6736496351986716e-05,0.13934212177991867,0.001
-0.41537767000000003,7387,5.18,36895,6710,4,0.96,36790,9.344774298369884e-06,0.12904882803559303,0.001
-0.4106547899999999,7399,5.17,36951,6720,4,0.96,36846,9.210396391219028e-06,0.13912715656416758,0.001
-0.41407718999999993,7409,5.23,37004,6730,4,0.97,36900,1.728132831755959e-05,0.141403038586889,0.001
-0.41502309,7420,5.25,37056,6740,4,0.98,36951,2.421384233457502e-05,0.13513496816158294,0.001
-0.41043391999999995,7430,5.18,37106,6750,4,0.98,37001,8.909328926165472e-06,0.1356024295091629,0.001
-0.41701169,7440,5.22,37158,6760,4,0.98,37053,8.019998783008001e-06,0.14131351808706918,0.001
-0.4113989499999999,7449,5.15,37202,6770,4,0.97,37097,4.325707436692028e-06,0.14422663673758507,0.001
-0.40828331,7460,5.12,37252,6780,4,0.97,37145,7.161303255998064e-06,0.13319783955812453,0.001
-0.40616895,7469,5.12,37300,6790,4,0.98,37196,4.303371667901956e-06,0.14400580152869225,0.001
-0.40225743999999997,7480,5.07,37351,6800,4,0.97,37246,3.6009748403860917e-06,0.1403379812836647,0.001
-0.39883784999999994,7489,5.03,37398,6810,4,0.97,37294,8.947819424065528e-06,0.1412348598241806,0.001
-0.39392067999999997,7499,4.94,37445,6820,4,0.97,37339,8.298971806652844e-06,0.14144574850797653,0.001
-0.39573837000000006,7509,4.95,37499,6830,4,0.97,37394,1.634026903047925e-05,0.1433405965566635,0.001
-0.39261356,7520,4.93,37549,6840,4,0.96,37447,1.126874622059404e-05,0.13367248823245367,0.001
-0.38779670000000005,7530,4.93,37599,6850,4,0.96,37495,5.165825859876349e-06,0.1414731502532959,0.001
-0.38554764999999996,7540,4.91,37649,6860,4,0.95,37543,9.694671553006628e-06,0.14155403673648834,0.001
-0.38562939999999996,7550,4.96,37698,6870,4,0.96,37593,2.5559154710208532e-05,0.14281406998634338,0.001
-0.38845564000000005,7560,4.97,37749,6880,4,0.96,37645,1.130280406869133e-05,0.14315777122974396,0.001
-0.39018875000000003,7570,4.98,37798,6890,4,0.96,37693,8.448762491752859e-06,0.1324455589056015,0.001
-0.39025093000000005,7579,4.95,37846,6900,4,0.96,37741,8.443049409834202e-06,0.13483510166406631,0.001
-0.39305614,7590,5.01,37899,6910,4,0.97,37794,7.078641647240147e-06,0.13794268667697906,0.001
-0.39522198000000003,7600,5.05,37950,6920,4,0.97,37845,1.0758477969829983e-05,0.14551899085442224,0.001
-0.39672868000000006,7611,5.05,38004,6930,4,0.97,37898,1.0526966616453137e-05,0.1384950876235962,0.001
-0.40074464000000004,7622,5.08,38057,6940,4,0.98,37952,1.0507465049158782e-05,0.14008598774671555,0.001
-0.39983811,7632,5.05,38104,6950,4,0.97,37999,5.557270469580544e-06,0.14045798033475876,0.001
-0.40088781999999995,7641,5.02,38151,6960,4,0.97,38045,8.875063576851971e-06,0.1344411104917526,0.001
-0.40144116999999996,7650,5.0,38198,6970,4,0.96,38096,5.887492352485424e-06,0.1399253398180008,0.001
-0.39610917,7659,4.94,38243,6980,4,0.95,38138,1.7987212913794792e-05,0.15067704766988754,0.001
-0.3949280199999999,7669,4.93,38291,6990,4,0.94,38186,7.17098923814774e-06,0.1408413290977478,0.001
-0.3919899399999999,7679,4.95,38341,7000,4,0.95,38236,7.1757324349164264e-06,0.14005884900689125,0.001
-0.38489684,7689,4.9,38389,7010,4,0.95,38284,4.610372836092817e-06,0.13898766040802002,0.001
-0.38371105,7698,4.86,38436,7020,4,0.94,38330,6.119607178334263e-06,0.13818617910146713,0.001
-0.37939972,7708,4.82,38486,7030,4,0.94,38382,5.667497134709265e-06,0.1475226104259491,0.001
-0.37558982999999996,7719,4.8,38537,7040,4,0.94,38432,1.0516771453694673e-05,0.14155175685882568,0.001
