rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/success_rate,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
4.53,90367,18370,1.0,-0.25652472000000004,22936,3,0.00031894208514131605,90268,0.10291574150323868,0.001
4.55,90413,18380,1.0,-0.25951894000000003,22948,3,0.00035120510729029774,90314,0.11508358518282573,0.001
4.55,90458,18390,1.0,-0.2573616,22960,3,0.000369349101674743,90360,0.10173171758651733,0.001
4.61,90508,18400,1.0,-0.26080604,22973,3,0.0003304885874968022,90406,0.1063854768872261,0.001
4.59,90555,18410,1.0,-0.25898906,22985,3,0.0003673987288493663,90457,0.10789617896080017,0.001
4.58,90600,18420,1.0,-0.25779875,22996,3,0.0003588049949030392,90502,0.10817296430468559,0.001
4.57,90644,18430,1.0,-0.25817203,23008,3,0.0003742336644791067,90546,0.1158978243668874,0.001
4.57,90689,18440,1.0,-0.25610899,23019,3,0.00032735010609030724,90591,0.10788478702306747,0.001
4.58,90732,18450,1.0,-0.2575198,23030,3,0.0003421348810661584,90634,0.11813008785247803,0.001
4.56,90776,18460,1.0,-0.25867452999999996,23042,3,0.0003613746594055556,90677,0.1093183159828186,0.001
4.59,90826,18470,1.0,-0.26074724000000005,23055,3,0.00035113958195627976,90728,0.11282996833324432,0.001
4.89,90902,18480,1.0,-0.26450997,23074,3,0.0003240588048356585,90803,0.10957923904061317,0.001
4.89,90947,18490,1.0,-0.26522323,23086,3,0.0003304739366285503,90847,0.10946984961628914,0.001
4.88,90996,18500,1.0,-0.26463391,23098,3,0.00037585163954645395,90897,0.10555944219231606,0.001
4.83,91038,18510,1.0,-0.26076997,23109,3,0.0003750260002561845,90940,0.10356293991208076,0.001
4.83,91083,18520,1.0,-0.2622362000000001,23121,3,0.0003520562968333252,90984,0.11632899940013885,0.001
4.83,91127,18530,1.0,-0.26107857,23132,3,0.0003480140876490623,91029,0.1032203920185566,0.001
4.83,91172,18540,1.0,-0.26133653999999995,23144,3,0.00035684346221387386,91074,0.09788332507014275,0.001
4.85,91217,18550,1.0,-0.26264821,23155,3,0.00035161740379408,91119,0.10174361243844032,0.001
4.89,91265,18560,1.0,-0.26483262999999996,23168,3,0.000353186036227271,91167,0.11246246844530106,0.001
4.85,91311,18570,1.0,-0.26140873000000003,23179,3,0.0003644478347268887,91213,0.11015933752059937,0.001
4.56,91358,18580,1.0,-0.25794167,23192,3,0.00037130750133655964,91260,0.10978003094593684,0.001
4.61,91408,18590,1.0,-0.26057878,23204,3,0.0003728410811163485,91307,0.10718241333961487,0.001
4.6,91456,18600,1.0,-0.26143257999999997,23217,3,0.0004115293326321989,91357,0.10820662975311279,0.001
4.68,91506,18610,1.0,-0.26682480999999997,23230,3,0.0003543942584656179,91407,0.10580701380968094,0.001
4.68,91551,18620,1.0,-0.26459788,23241,3,0.00037155841710045934,91453,0.09901966527104378,0.001
4.71,91598,18630,1.0,-0.26585304,23253,3,0.00032353805145248773,91500,0.10550082723299663,0.001
4.72,91644,18640,1.0,-0.26611896,23265,3,0.000351789133856073,91546,0.10860753307739894,0.001
